Insult,Date,Comment
1,20120618192155Z,"""you fuck you are dad."""
0,20120528192215Z,"""i really do not understand you are point. it seems that you are mixing apples and oranges."""
0,,"""a majority of canadians can and has been wrong before now and will be again. unless you are supportive of the idea that nothing is full proof or perfect so you take you are chances and if we should inadvertently kill you are son or daughter then them is the breaks and we can always regard you as collateral damage like in wartime - and sorry, but the cheques in the mail. """
0,,"""listen if you dont wanna get married to a man or a women dont do it. what would it bother you if gay people got married stay in you are lane do you let them do them. and you are god is so nice but quick to judg if you are not like him, thought you wasnt suppose to judge people."""
0,20120619094753Z,"""c b xu bi t 2011 c ho kh ? c ng d ng cu chi nh c ho kh ? c n d gi v giang, c th c ho kh ? . are cu g th ch ta bi ! ai c y chu ho b, nh khi ho b ch th s sau chi tranh am th kh c con n ch kh , am th n"""
0,20120620171226Z,"""-PRON- ok, but i would hope they would sign him to a one-year contract to start with. give him the chance to be reliable and productive, but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits."""
0,20120503012628Z,"""yeah and where are you now?"""
1,,"""shut the fuck up. you and the rest of you are faggot friends should be burned at the stake"""
1,20120502173553Z,"""either you are fake or extremely stupid.maybe both."""
1,20120620160512Z,"""that you are an idiot who understands neither taxation nor women is health."""
0,20120620015140Z,"""-PRON- dont wish him injury but it happened on its own and i doubt he is injured, he looked embarrassed to me"""
0,20120530044519Z,"""be careful,jimbo.og has a fork with you are name on it."""
0,,"""-PRON- or they just do not pay attention """
0,,"""hm. perhaps some who are too pig-faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can?? idk. stream of consciousnees thought after looking at her. """
0,,"""-PRON- huh? her income was $21,912. her spending was $5,470. my math puts that at 24.9%."""
1,20120611090207Z,"""for some reason you sound retarded. lol. damn. where you been negro"""
1,20120320162532Z,"""you with the 'racist' screen name you are a pieceofshit."""
0,,"""oh! & cheating as well.1966 cup was a cheat fest, & you still dare to post that comment..shame on you lol"""
1,20120320075347Z,"""you are such a dickhead."""
1,20120320203947Z,"""you are a retard go post you are head up you are -PRON-%&*"""
0,20120612051612Z,"""-PRON- you want to say ""mike macwhogal?"""""
0,20120611234235Z,""""
0,20120502215304Z,"""and you know they have burned holes in all the carpeting."""
0,20120503031721Z,"""you are a land creature. you would drown."""
0,,"""to all those doom-and-gloomers, the chicken-littles who claim the sky is falling and that society is collapsing.canada has had gay marriage nationwide for years. where is the disaster? where is the collapse and the persecution you are shouting about? where is it? please, show us some examples because it is starting to look like you are threats and fears and warnings are nothing but hot air."""
0,20120612144331Z,"""craig, we have been saying from the start that this is a very entertaining show. it awakens the horny little goth in me. i met my boyfriend during the first season and one of the first thing we did was watch ahs at my house. i know he likes me and all but to this day he is sure i am far creepier and kinkier than he could ever be. thanks, american horror story. sweet clam loves you."""
0,20120529025329Z,"""strange you are talking about that when there were chelsea fans in here belittling the community shield"""
0,20120612052926Z,"""but how would you actually get the key out?"""
0,20120528193950Z,"""oh cool, some more internet points for you are collection!"""
